,ts_code,symbol,name,area,industry,fullname,enname,cnspell,market,exchange,curr_type,list_status,list_date,delist_date,is_hs
2352,300872.SZ,300872,天阳科技,西藏,软件服务,天阳宏业科技股份有限公司,"Tansun Technology Co., Ltd.",tykj,创业板,SZSE,CNY,L,20200824,,S
2353,300873.SZ,300873,海晨股份,江苏,仓储物流,江苏海晨物流股份有限公司,"Hichain Logistics Co.,Ltd.",hcgf,创业板,SZSE,CNY,L,20200824,,S
2354,300875.SZ,300875,捷强装备,天津,专用机械,天津捷强动力装备股份有限公司,"Tianjin Jieqiang Equipments Co.,Ltd.",jqzb,创业板,SZSE,CNY,L,20200824,,N
2355,300876.SZ,300876,蒙泰高新,广东,化纤,广东蒙泰高新纤维股份有限公司,"Guangdong Modern High-Tech Fiber Co., Ltd",mtgx,创业板,SZSE,CNY,L,20200824,,N
2356,300877.SZ,300877,金春股份,安徽,纺织,安徽金春无纺布股份有限公司,"Anhui Jinchun Nonwoven Co., Ltd.",jcgf,创业板,SZSE,CNY,L,20200824,,N
2357,300878.SZ,300878,维康药业,浙江,中成药,浙江维康药业股份有限公司,Zhejiang Wecome Pharmaceutical Company Limited,wkyy,创业板,SZSE,CNY,L,20200824,,N
2358,300879.SZ,300879,大叶股份,浙江,农用机械,宁波大叶园林设备股份有限公司,"Ningbo Daye Garden Machinery Co.,Ltd.",dygf,创业板,SZSE,CNY,L,20200901,,N
2359,300880.SZ,300880,迦南智能,浙江,电器仪表,宁波迦南智能电气股份有限公司,"Ningbo Jianan Electronics Co.,Ltd",jnzn,创业板,SZSE,CNY,L,20200901,,N
2360,300881.SZ,300881,盛德鑫泰,江苏,钢加工,盛德鑫泰新材料股份有限公司,"Shengtak New Materials Co., Ltd.",sdxt,创业板,SZSE,CNY,L,20200901,,N
2361,300882.SZ,300882,万胜智能,浙江,电器仪表,浙江万胜智能科技股份有限公司,"Zhejiang Wellsun Intelligent Technology Co.,Ltd.",wszn,创业板,SZSE,CNY,L,20200910,,N
2362,300883.SZ,300883,龙利得,安徽,造纸,龙利得智能科技股份有限公司,"Ld Intelligent Technology Co., Ltd",lld,创业板,SZSE,CNY,L,20200910,,N
2363,300884.SZ,300884,狄耐克,福建,通信设备,厦门狄耐克智能科技股份有限公司,"Dnake (Xiamen) Intelligent Technology Co., Ltd.",dnk,创业板,SZSE,CNY,L,20201112,,N
2364,300885.SZ,300885,海昌新材,江苏,机械基件,扬州海昌新材股份有限公司,"Yangzhou Seashine New Materials Co.,Ltd.",hcxc,创业板,SZSE,CNY,L,20200910,,N
2365,300886.SZ,300886,华业香料,安徽,化工原料,安徽华业香料股份有限公司,"Anhui Hyea Aromas Co., Ltd.",hyxl,创业板,SZSE,CNY,L,20200916,,N
2366,300887.SZ,300887,谱尼测试,北京,电器仪表,谱尼测试集团股份有限公司,"Pony Testing International Group Co., Ltd.",pncs,创业板,SZSE,CNY,L,20200916,,S
2367,300888.SZ,300888,稳健医疗,深圳,医疗保健,稳健医疗用品股份有限公司,"Winner Medical Co., Ltd.",wjyl,创业板,SZSE,CNY,L,20200917,,S
2368,300889.SZ,300889,爱克股份,深圳,电气设备,深圳爱克莱特科技股份有限公司,"Shenzhen Exc-Led Technology Co.,Ltd",akgf,创业板,SZSE,CNY,L,20200916,,N
2369,300890.SZ,300890,翔丰华,深圳,电气设备,深圳市翔丰华科技股份有限公司,"Shenzhen Xfh Technology Co.,Ltd.",xfh,创业板,SZSE,CNY,L,20200917,,N
2370,300891.SZ,300891,惠云钛业,广东,化工原料,广东惠云钛业股份有限公司,"Guangdong Huiyun Titanium Industry Co.,Ltd.",hyty,创业板,SZSE,CNY,L,20200917,,N
2371,300892.SZ,300892,品渥食品,上海,乳制品,品渥食品股份有限公司,"Pinlive Foods Co.,Ltd",pwsp,创业板,SZSE,CNY,L,20200924,,N
2372,300893.SZ,300893,松原股份,浙江,汽车配件,浙江松原汽车安全系统股份有限公司,"Zhejiang Songyuan Automotive Safety Systems Co.,Ltd.",sygf,创业板,SZSE,CNY,L,20200924,,S
2373,300894.SZ,300894,火星人,浙江,家用电器,火星人厨具股份有限公司,"Marssenger Kitchenware Co., Ltd.",hxr,创业板,SZSE,CNY,L,20201231,,S
2374,300895.SZ,300895,铜牛信息,北京,软件服务,北京铜牛信息科技股份有限公司,"Beijing Topnew Info & Tech Co.,Ltd.",tnxx,创业板,SZSE,CNY,L,20200924,,N
2375,300896.SZ,300896,爱美客,北京,医疗保健,爱美客技术发展股份有限公司,"Imeik Technology Development Co.,Ltd.",amk,创业板,SZSE,CNY,L,20200928,,S
2376,300897.SZ,300897,山科智能,浙江,电器仪表,杭州山科智能科技股份有限公司,"Hangzhou Seck Intelligent Technology Co.,Ltd.",skzn,创业板,SZSE,CNY,L,20200928,,N
2377,300898.SZ,300898,熊猫乳品,浙江,乳制品,熊猫乳品集团股份有限公司,Panda Dairy Corporation,xmrp,创业板,SZSE,CNY,L,20201016,,N
2378,300899.SZ,300899,上海凯鑫,上海,环境保护,上海凯鑫分离技术股份有限公司,Keysino Separation Technology Inc.,shkx,创业板,SZSE,CNY,L,20201016,,N
2379,300900.SZ,300900,广联航空,黑龙江,航空,广联航空工业股份有限公司,"Guanglian Aviation Industry Co., Ltd.",glhk,创业板,SZSE,CNY,L,20201029,,S
2380,300901.SZ,300901,中胤时尚,浙江,服饰,浙江中胤时尚股份有限公司,"Zhejiang Zoenn Design Co., Ltd.",zyss,创业板,SZSE,CNY,L,20201029,,N
2381,300902.SZ,300902,国安达,福建,专用机械,国安达股份有限公司,"Guoanda Co.,Ltd.",gad,创业板,SZSE,CNY,L,20201029,,N
2382,300903.SZ,300903,科翔股份,广东,元器件,广东科翔电子科技股份有限公司,"Guangdong Kingshine Electronic Technology Co.,Ltd.",kxgf,创业板,SZSE,CNY,L,20201105,,S
2383,300905.SZ,300905,宝丽迪,江苏,染料涂料,苏州宝丽迪材料科技股份有限公司,"Poly Plastic Masterbatch (Suzhou) Co.,Ltd",bld,创业板,SZSE,CNY,L,20201105,,N
